term	url	http	bytes	sha256
INFO_ID_BQ	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_BQ/	200	3264	f5b8f5b525a1813930dd028c036b1e678d256b9b834adb5d88495403c381fadb
INFO_ID_CC	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_CC/	200	3306	def7148c95a97c396881ee7d799dc0ec9fc8465a2436d41ca18c4fb2268d9ec1
INFO_ID_CIGAR	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_CIGAR/	200	3320	629f4abacd90510133b50411e442310e422aec28410c408444b5193e1233dd41
INFO_ID_DB	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_DB/	200	3247	f7ab8c0c9beefe09a6d1c29b1e154229445643a87c11828f23a1febda46704c9
INFO_ID_DP	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_DP/	200	3273	c1ff63b5b7ea09d7e25f8ed2d25c1877a212a609f6691f2c9935868064431ba4
INFO_ID_END	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_END/	200	3318	d08984061d4fb53ad946d1a8dd3af4b190589f4ade189b2cba308c63a9eb0bf8
INFO_ID_H2	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_H2/	200	3252	41a0ce1793c8e9c5eefc4a3ac68917e1e3423d1a0bdfb150144af353d1edad45
INFO_ID_H3	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_H3/	200	3252	83faba334bfbf38ad373ef064294bdb51aa047ad33198370f60279ec07885aff
INFO_ID_MQ	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_MQ/	200	3262	49a15354ca98af0bd60d5bb6938f8da74fba259db2eeb7928d3af2c7aee22a67
INFO_ID_MQ0	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_MQ0/	200	3280	fa779a5abc57f7d4153689e61300db75f51c18a4c11271011503025c93927111
INFO_ID_NS	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_NS/	200	3258	473483d8ae2b280a3bb65a25a58d79735bdbfe94ec1081531b6aa84742c1be81
INFO_ID_SB	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_SB/	200	3259	7870745314735529aacd6221e5eb58b3e6b93da9a86856d53e8e53c1fbd667fe
INFO_ID_SOMATIC	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_SOMATIC/	200	3314	ee8949bc2ac9561ceeed667e734e0ce4173d1d56c28fee653095e9d76833c407
INFO_ID_VALIDATED	https://diegopenhanut.github.io/vcf-resources/v4_2/INFO_ID_VALIDATED/	200	3285	6051f4a38b9bdc94035ce41ebf7245627d77107349a1a7cb5b76df42b4fbf9e1
Number	https://diegopenhanut.github.io/vcf-resources/v4_2/Number/	200	3254	57544fe3b55d8b59f4f723c18dadc66bd89021a7d4f5f15453e6d8546f3c9dea
PEDIGREE	https://diegopenhanut.github.io/vcf-resources/v4_2/PEDIGREE/	200	3258	4bd182c75c7da6a74f9a0f93f8ea1f2b91a2313bfedfe8b8ec4406b61cda9621
SAMPLE	https://diegopenhanut.github.io/vcf-resources/v4_2/SAMPLE/	200	3251	7d4af7c332c93610e8a38da8a91bf49627aafedf52820d7e417fc5de97c8d1ba
Source	https://diegopenhanut.github.io/vcf-resources/v4_2/Source/	200	3272	1bdb3e0acb91aa6c50b344842e4da52cb1e1e075453075f321eba969088ce3f6
Type	https://diegopenhanut.github.io/vcf-resources/v4_2/Type/	200	3270	8640f9f6915e290eba8b26ae1a95e81bbb73f825178740ee925b6fac745e6f20
assembly	https://diegopenhanut.github.io/vcf-resources/v4_2/assembly/	200	3361	8a95d61f0a2d259b9b407bcb356feac0896c976a0ee7b5282775c25a74360fb0
contig	https://diegopenhanut.github.io/vcf-resources/v4_2/contig/	200	3231	c000735938c511539e99e1f86a5f9a494ca0943a5e3222cf3068fcde3d6cc643
contig_ID	https://diegopenhanut.github.io/vcf-resources/v4_2/contig_ID/	200	3255	a875d1c5fb7f7157a954b7162198e22f26592652acc21c0108f95cb9d36895a5
contig_URL	https://diegopenhanut.github.io/vcf-resources/v4_2/contig_URL/	200	3240	1d35f5da055c31378d6affefe0417956aead57a75343dd1b42d5346c6141b73d
format_propertie	https://diegopenhanut.github.io/vcf-resources/v4_2/format_propertie/	200	3269	3e0d244524ec17afa3a31855808dc8440f0da84681c7c7e0270ffbe829ca09f4
reference	https://diegopenhanut.github.io/vcf-resources/v4_2/reference/	200	3257	e63890224de8bb79c54ca895f0821ce05a37cc1c63c8c47e0c797bbd065496e1
